R vR err_vR vT err_vT V-B V Mass
0.1042 2.3893 1.0574 -3.9931 1.0382 0.4483 4.2974 0.8071
0.1232 2.1096 1.0737 14.2069 1.0767 0.5568 5.4532 0.7332
0.1405 18.8532 1.2491 4.7415 1.2439 0.9347 7.7030 0.5517
0.1085 -5.3354 1.4524 -10.3108 1.4513 1.0871 8.5712 0.4830
0.1333 -3.8224 1.0723 -11.4032 1.0763 0.5503 5.4021 0.7373
0.1380 4.7307 1.1584 17.9980 1.1610 0.8052 6.9100 0.6137
0.1381 -1.8333 1.2320 3.6851 1.2284 0.9171 7.5975 0.5598
0.1341 -4.9869 2.2299 8.0805 2.2319 1.3098 9.9156 0.3516
0.0944 -3.4174 1.3680 -1.9533 1.3690 1.0316 8.2630 0.5081
0.1375 0.0589 1.1164 2.9862 1.1161 0.7046 6.3648 0.6580
0.1299 -10.5660 2.8165 11.5325 2.8616 1.3734 10.5617 0.2661
0.1458 -13.7068 1.4952 -8.1748 1.4949 1.1070 8.6846 0.4734
0.1271 -10.4185 1.5723 2.5638 1.5747 1.1387 8.8614 0.4582
0.0571 -3.9542 1.0636 2.4081 1.0617 0.5037 4.9878 0.7682
0.0961 -1.9187 1.0790 1.2819 1.0779 0.5833 5.6455 0.7175
0.1457 6.9773 2.6675 8.5828 2.6974 1.3609 10.4020 0.2873
0.0623 2.6942 1.1581 3.4210 1.1606 0.8046 6.9065 0.6140
0.1476 -8.5400 2.4542 -14.8518 2.4589 1.3398 10.1701 0.3189
0.1361 -1.5687 1.6937 1.9823 1.6991 1.1862 9.1294 0.4343
0.0348 -17.3155 1.2998 -11.7096 1.2962 0.9779 7.9623 0.5316
0.1097 0.7380 1.1434 0.8997 1.1424 0.7701 6.7169 0.6293
0.1436 4.0883 1.0634 -2.7528 1.0609 0.5024 4.9730 0.7692
0.0886 -6.9491 3.1118 6.7790 3.1342 1.3966 10.8550 0.2316
0.0786 -5.1424 1.0690 2.7652 1.0710 0.5316 5.2484 0.7492
0.1494 -9.4828 1.2015 -13.8237 1.2009 0.8865 7.4099 0.5743
0.1078 0.4771 1.1084 8.3933 1.1095 0.6860 6.2601 0.6667
0.1482 -9.8715 1.0699 8.8065 1.0725 0.5367 5.2913 0.7459
0.1489 4.4608 1.0910 -4.5346 1.0892 0.6321 5.9502 0.6923
0.1025 0.0946 1.7806 -6.1421 1.7872 1.2175 9.3145 0.4166
0.1342 -2.7257 1.0592 5.6167 1.0434 0.4746 4.6439 0.7899
0.1388 10.6201 1.0909 -12.2164 1.0891 0.6319 5.9486 0.6924
0.1504 7.2657 1.1581 1.5255 1.1606 0.8045 6.9062 0.6140
0.1500 3.5480 1.0587 -1.9528 1.0416 0.4702 4.5896 0.7929
0.1502 -14.7955 2.5866 6.3156 2.6060 1.3535 10.3143 0.2993
0.1517 2.6413 1.0792 2.1222 1.0780 0.5843 5.6522 0.7170
0.1544 2.8563 3.1352 -16.7214 3.1557 1.3986 10.8782 0.2292
0.1533 6.4788 1.0708 1.0059 1.0738 0.5414 5.3307 0.7429
0.1540 4.6654 1.7722 -7.9967 1.7788 1.2146 9.2968 0.4184
0.1111 2.5693 1.1375 -6.0049 1.1351 0.7562 6.6412 0.6354
0.1536 -1.9062 1.0605 1.7296 1.0487 0.4827 4.7438 0.7840
0.1368 -1.7121 1.0657 7.1608 1.0657 0.5142 5.0939 0.7607
0.1514 -2.9729 1.0702 7.8014 1.0730 0.5385 5.3061 0.7448
0.1496 -3.7455 1.2297 -5.7734 1.2264 0.9148 7.5835 0.5609
0.0520 15.0207 1.0827 2.4082 1.0788 0.6038 5.7781 0.7065
0.1147 -15.7433 3.1930 3.5612 3.2052 1.4059 10.9609 0.2209
0.0839 -11.7248 1.1547 -20.1674 1.1564 0.7967 6.8629 0.6175
0.1624 16.7748 2.7331 -12.9104 2.7713 1.3665 10.4730 0.2777
0.1326 8.9832 1.1678 1.7939 1.1716 0.8258 7.0282 0.6042
0.0058 6.4543 1.1703 4.9916 1.1738 0.8306 7.0583 0.6019
0.1392 -4.7527 1.0616 6.6656 1.0535 0.4902 4.8332 0.7785
0.1631 8.4125 2.3760 -9.1305 2.3797 1.3302 10.0813 0.3307
0.1581 0.5549 1.0598 -2.2214 1.0457 0.4782 4.6881 0.7873
0.1630 -1.5143 2.3217 0.0137 2.3247 1.3230 10.0198 0.3386
0.1451 13.1403 1.2005 7.1134 1.2001 0.8856 7.4043 0.5748
0.0563 2.5662 1.6546 0.8076 1.6595 1.1717 9.0460 0.4419
0.1276 -5.5676 1.7346 1.7535 1.7406 1.2011 9.2165 0.4261
0.1602 9.5891 1.2125 -11.7453 1.2109 0.8973 7.4781 0.5689
0.0552 8.5184 1.0641 3.2489 1.0631 0.5066 5.0189 0.7660
0.1087 -2.8740 1.0576 -6.1240 1.0387 0.4513 4.3419 0.8051
0.1376 14.4314 2.7656 -0.7029 2.8079 1.3693 10.5082 0.2731
0.1550 -0.5384 1.8734 3.8008 1.8791 1.2415 9.4631 0.4016
0.1665 3.2560 1.4600 -2.0473 1.4587 1.0920 8.5990 0.4806
0.0828 0.3772 3.2324 8.6465 3.2159 1.4255 11.1666 0.2026
0.1688 -7.1437 3.0038 7.2460 3.0344 1.3878 10.7477 0.2434
0.1613 10.3934 1.1578 0.2592 1.1603 0.8040 6.9031 0.6143
0.1068 -7.7260 3.1979 -23.1928 3.2066 1.4082 10.9866 0.2184
0.1196 13.8843 1.1666 2.1513 1.1706 0.8236 7.0143 0.6053
0.1538 -10.9552 1.0586 6.9012 1.0413 0.4685 4.5675 0.7940
0.1308 12.1094 3.1177 -13.0512 3.1396 1.3971 10.8609 0.2310
0.1671 2.5105 1.1858 13.1426 1.1872 0.8598 7.2413 0.5876
0.0795 -10.5955 1.0738 -14.2577 1.0767 0.5574 5.4579 0.7328
0.1478 -0.4267 1.4841 -6.3565 1.4834 1.1025 8.6591 0.4755
0.1731 -5.4186 1.0671 6.1256 1.0679 0.5213 5.1578 0.7560
0.1727 1.0804 1.2148 4.7532 1.2130 0.8995 7.4921 0.5678
0.0354 -3.1547 2.3078 -29.3695 2.3107 1.3211 10.0040 0.3406
0.1735 -7.2732 1.0835 7.7793 1.0793 0.6075 5.8013 0.7046
0.1644 5.4230 2.9013 3.0664 2.9398 1.3798 10.6459 0.2555
0.1746 -11.8273 1.0637 3.1453 1.0622 0.5047 4.9983 0.7675
0.1729 5.0970 1.4134 -0.0350 1.4133 1.0619 8.4290 0.4947
0.1624 -1.0126 1.1947 -2.9959 1.1950 0.8766 7.3472 0.5793
0.1310 -9.8876 1.0742 9.5171 1.0768 0.5595 5.4737 0.7315
0.1712 0.6212 1.0871 -0.5111 1.0841 0.6192 5.8736 0.6986
0.1364 -5.3974 1.1329 -5.5133 1.1299 0.7453 6.5818 0.6401
0.1612 3.8437 1.1164 13.4613 1.1161 0.7047 6.3653 0.6580
0.0602 -2.7542 1.1429 14.7000 1.1418 0.7690 6.7111 0.6298
0.1742 -11.5763 1.5402 -3.1480 1.5415 1.1254 8.7879 0.4645
0.1780 20.7811 1.0853 11.9025 1.0817 0.6133 5.8379 0.7016
0.1673 1.3137 1.1489 -10.2369 1.1492 0.7830 6.7880 0.6236
0.1734 -1.4418 1.7004 -18.1468 1.7058 1.1886 9.1435 0.4330
0.1031 -9.5714 1.1321 6.5446 1.1292 0.7433 6.5709 0.6410
0.1503 -8.2256 1.1639 -6.2888 1.1679 0.8182 6.9816 0.6079
0.1796 15.0056 1.0579 11.7841 1.0370 0.4394 4.1290 0.8139
0.1809 -8.9234 1.1502 5.0204 1.1509 0.7862 6.8052 0.6222
0.1770 6.9656 2.1620 1.5490 2.1631 1.2993 9.8386 0.3608
0.1255 -6.2913 1.1564 1.9560 1.1585 0.8005 6.8841 0.6158
0.1223 12.6465 1.0591 -1.9803 1.0367 0.4365 4.0273 0.8176
0.1825 -8.1545 1.0687 8.9853 1.0705 0.5300 5.2343 0.7503
0.1757 -6.7410 1.2593 -7.8499 1.2530 0.9452 7.7656 0.5469
0.1821 16.9709 1.0875 -9.1668 1.0846 0.6204 5.8807 0.6980
0.1551 5.0094 1.6292 3.8510 1.6336 1.1621 8.9918 0.4468
0.0850 3.7768 1.0728 5.1010 1.0765 0.5527 5.4210 0.7358
0.1663 -6.5486 1.0638 4.7713 1.0623 0.5048 4.9995 0.7674
0.1821 0.3757 1.0713 0.7292 1.0747 0.5445 5.3559 0.7409
0.1104 0.6654 1.0590 0.6472 1.0425 0.4732 4.6270 0.7908
0.1369 14.4511 1.2694 1.0748 1.2629 0.9545 7.8217 0.5426
0.1511 3.7488 1.2207 13.7279 1.2183 0.9055 7.5285 0.5650
0.1794 16.7201 1.1699 -2.9980 1.1734 0.8298 7.0536 0.6023
0.1375 -0.4814 1.0573 -0.7349 1.0380 0.4470 4.2749 0.8080
0.1744 -7.5635 1.0628 5.5556 1.0584 0.4982 4.9258 0.7724
0.1385 9.4863 1.3224 2.8400 1.3209 0.9953 8.0672 0.5233
0.1852 7.7023 1.1820 -11.8795 1.1839 0.8526 7.1961 0.5912
0.1532 -4.4474 1.2138 -10.3216 1.2120 0.8985 7.4858 0.5683
0.1201 3.5749 1.1156 0.6532 1.1154 0.7027 6.3541 0.6589
0.1865 15.5594 2.9095 -16.7363 2.9474 1.3805 10.6541 0.2545
0.1192 -4.1145 1.5137 5.6289 1.5141 1.1144 8.7270 0.4697
0.1796 -2.1178 1.0935 5.8562 1.0925 0.6407 6.0002 0.6881
0.1792 11.4182 1.0805 3.7850 1.0783 0.5917 5.7005 0.7130
0.1567 0.2384 1.4005 16.1771 1.4006 1.0535 8.3816 0.4986
0.1744 1.7421 1.9258 6.6179 1.9304 1.2523 9.5333 0.3942
0.0138 0.8356 1.0845 0.2454 1.0806 0.6107 5.8215 0.7029
0.1814 2.7317 1.0600 -4.0313 1.0364 0.4369 3.9398 0.8206
0.1891 6.0168 2.7916 19.8389 2.8373 1.3715 10.5364 0.2694
0.1888 12.9695 2.1304 -11.2610 2.1312 1.2942 9.8028 0.3650
0.0500 7.0412 1.1072 -4.3092 1.1085 0.6834 6.2451 0.6679
0.0861 -10.1261 1.2859 0.7456 1.2809 0.9672 7.8978 0.5366
0.0738 -7.1657 1.4824 18.5985 1.4817 1.1019 8.6554 0.4759
0.1211 -0.0120 2.1767 3.6828 2.1780 1.3017 9.8553 0.3588
0.1655 5.8713 1.3117 -16.2060 1.3092 0.9870 8.0175 0.5272
0.1292 12.5342 2.3285 5.8526 2.3316 1.3239 10.0275 0.3376
0.0265 4.8856 1.2687 9.8857 1.2621 0.9540 7.8183 0.5428
0.0887 1.8318 1.0590 -7.1084 1.0426 0.4734 4.6294 0.7907
0.1539 8.8050 1.1588 -2.7045 1.1615 0.8062 6.9158 0.6132
0.1363 3.3264 1.0855 -13.4916 1.0820 0.6140 5.8423 0.7012
0.1938 -6.7238 1.4564 -3.6550 1.4552 1.0897 8.5860 0.4817
0.1549 -0.6662 1.0599 -6.0940 1.0463 0.4789 4.6978 0.7868
0.1824 -16.0425 1.0595 -6.9165 1.0366 0.4363 3.9846 0.8191
0.0936 4.7001 1.1971 11.3152 1.1971 0.8812 7.3759 0.5770
0.1618 16.6919 1.0700 3.2757 1.0727 0.5373 5.2968 0.7455
0.1449 8.6262 1.0643 -4.6171 1.0635 0.5076 5.0301 0.7652
0.1777 4.7002 1.0976 11.1232 1.0980 0.6551 6.0831 0.6812
0.1950 3.6962 1.0662 5.0094 1.0665 0.5168 5.1173 0.7590
0.1851 -2.9932 1.0658 0.6949 1.0658 0.5147 5.0979 0.7604
0.1813 -8.9802 1.0796 0.9628 1.0781 0.5863 5.6654 0.7159
0.1625 0.6533 1.4379 17.2112 1.4372 1.0778 8.5185 0.4874
0.1795 -9.1200 1.0892 4.7111 1.0869 0.6263 5.9158 0.6951
0.1087 5.0349 1.0584 -1.1970 1.0408 0.4648 4.5204 0.7965
0.1844 7.0864 2.5354 2.0530 2.5483 1.3484 10.2589 0.3069
0.0636 -9.1804 1.7403 -8.8469 1.7464 1.2032 9.2287 0.4249
0.1966 2.0451 2.7452 -16.1062 2.7849 1.3676 10.4861 0.2760
0.1966 3.2608 1.0935 -10.4082 1.0925 0.6409 6.0013 0.6880
0.1969 6.5193 1.1329 -7.4115 1.1299 0.7454 6.5824 0.6401
0.0937 5.1810 1.2664 -8.6594 1.2597 0.9522 7.8077 0.5437
0.1893 -4.1284 1.3929 -5.6491 1.3933 1.0485 8.3539 0.5008
0.1713 16.9111 3.1689 6.6853 3.1868 1.4015 10.9117 0.2257
0.1754 -4.3284 3.2212 9.5893 3.2129 1.4197 11.1080 0.2075
0.1947 7.2957 1.1714 -3.1865 1.1747 0.8326 7.0711 0.6009
0.1711 20.3343 1.7075 21.7403 1.7131 1.1913 9.1588 0.4316
0.0328 1.1095 1.0979 1.1729 1.0983 0.6561 6.0887 0.6808
0.1094 3.3213 2.1129 -19.2421 2.1134 1.2913 9.7828 0.3672
0.1663 7.8513 1.0810 13.0706 1.0784 0.5943 5.7173 0.7116
0.1540 -8.0569 1.0793 -2.6790 1.0780 0.5849 5.6566 0.7166
0.1220 9.3985 1.1560 -4.5969 1.1580 0.7996 6.8793 0.6162
0.1426 -4.2838 1.1210 -8.9245 1.1200 0.7155 6.4257 0.6530
0.1211 8.0155 1.1267 -7.3787 1.1247 0.7298 6.5007 0.6467
0.1745 10.4889 1.6851 -5.4094 1.6903 1.1830 9.1109 0.4360
0.1848 2.9688 1.2114 -5.2903 1.2099 0.8962 7.4712 0.5695
0.1988 -18.6620 2.2213 -1.7087 2.2232 1.3085 9.9059 0.3528
0.1090 -1.1916 1.1129 5.4796 1.1132 0.6965 6.3193 0.6618
0.2005 -7.3995 1.1735 -14.7379 1.1766 0.8366 7.0960 0.5990
0.2013 7.2640 1.2360 1.4162 1.2320 0.9212 7.6221 0.5579
0.1801 -1.1076 1.3023 -13.5255 1.2989 0.9799 7.9741 0.5307
0.1134 6.1845 1.1320 -8.0958 1.1291 0.7433 6.5705 0.6410
0.1956 6.8976 1.0821 0.1152 1.0786 0.6005 5.7569 0.7083
0.0567 20.7389 3.2083 5.7993 3.2094 1.4132 11.0407 0.2134
0.1179 5.2203 1.1038 -5.4989 1.1056 0.6753 6.1994 0.6717
0.0762 -6.7088 1.8595 15.0598 1.8656 1.2386 9.4445 0.4035
0.1981 -2.2725 2.6030 7.8432 2.6246 1.3550 10.3322 0.2968
0.1966 -2.6494 1.0622 -1.0983 1.0558 0.4940 4.8772 0.7756
0.1716 3.6405 1.4617 15.2006 1.4604 1.0931 8.6053 0.4801
0.2023 -9.4549 1.8727 -1.6502 1.8784 1.2413 9.4621 0.4017
0.1881 -15.3438 1.1788 -10.2363 1.1812 0.8467 7.1590 0.5941
0.1787 -4.6447 1.0952 -1.4264 1.0948 0.6467 6.0352 0.6852
0.1423 10.2580 1.4154 -6.1504 1.4152 1.0632 8.4360 0.4942
0.0501 -11.2358 3.2341 2.5276 3.2164 1.4264 11.1755 0.2019
0.1356 8.2173 2.9160 -21.1985 2.9535 1.3810 10.6605 0.2537
0.1756 -2.6706 1.0751 -9.4282 1.0770 0.5634 5.5033 0.7291
0.1032 -0.5661 2.6704 -6.3910 2.7006 1.3611 10.4052 0.2869
0.1642 -5.6523 1.3721 -7.2674 1.3729 1.0344 8.2779 0.5069
0.2035 -1.6606 1.1700 -0.4598 1.1735 0.8300 7.0543 0.6022
0.2043 12.0141 1.0819 2.1596 1.0786 0.5994 5.7499 0.7089
0.1336 -2.1633 1.0594 0.6922 1.0441 0.4756 4.6564 0.7891
0.1976 -7.4763 1.1843 -5.8522 1.1859 0.8571 7.2241 0.5890
0.2013 -6.7884 3.1859 -4.9418 3.2025 1.4030 10.9285 0.2241
0.1888 6.7332 1.1059 -0.4161 1.1074 0.6803 6.2278 0.6694
0.1868 7.4534 1.0984 -3.9227 1.0990 0.6578 6.0987 0.6799
0.0968 1.4099 1.0905 -4.5245 1.0885 0.6304 5.9403 0.6931
0.1564 -7.8482 1.2996 -1.7787 1.2959 0.9777 7.9613 0.5317
0.2060 11.5250 1.1673 7.1844 1.1711 0.8248 7.0222 0.6047
0.1958 0.4946 1.0661 -0.8863 1.0664 0.5164 5.1141 0.7592
0.1090 7.3633 1.1152 -0.2859 1.1151 0.7019 6.3496 0.6593
0.2084 -10.8983 2.3348 11.6708 2.3380 1.3248 10.0346 0.3367
0.1631 -20.7459 1.1726 1.0669 1.1757 0.8349 7.0849 0.5998
0.2045 1.7134 1.0802 -3.9169 1.0782 0.5900 5.6897 0.7139
0.1811 -10.0935 1.2011 -11.2611 1.2006 0.8861 7.4074 0.5745
0.1144 6.0453 1.0671 11.0236 1.0680 0.5216 5.1610 0.7558
0.0223 16.4975 1.1042 2.4195 1.1060 0.6763 6.2048 0.6713
0.1955 8.4492 1.0587 4.4173 1.0415 0.4696 4.5817 0.7933
0.2112 2.8176 1.0828 10.3381 1.0788 0.6046 5.7834 0.7061
0.2082 -3.9907 1.0781 -4.2770 1.0777 0.5784 5.6132 0.7201
0.2113 -6.3170 1.2335 -7.0519 1.2298 0.9187 7.6069 0.5591
0.2070 -9.5205 3.1492 -21.5026 3.1687 1.3998 10.8921 0.2277
0.1961 -6.7831 1.5317 14.0649 1.5328 1.1218 8.7684 0.4662
0.1255 13.8985 2.0357 -12.3421 2.0378 1.2758 9.6804 0.3786
0.1312 -14.6364 1.0711 9.1783 1.0743 0.5432 5.3450 0.7418
0.1879 -2.6415 1.9253 22.3742 1.9299 1.2522 9.5326 0.3942
0.2110 5.6852 2.8028 -19.8764 2.8489 1.3724 10.5480 0.2678
0.0536 9.7193 2.5155 1.8701 2.5258 1.3464 10.2373 0.3098
0.1554 15.9469 1.1196 -1.2175 1.1188 0.7123 6.4078 0.6544
0.2006 -17.5245 3.0654 5.4384 3.0913 1.3928 10.8089 0.2365
0.1910 -11.6101 1.0574 -3.5355 1.0383 0.4487 4.3035 0.8068
0.1171 14.4548 3.1943 2.8085 3.2056 1.4065 10.9676 0.2202
0.1543 1.6302 1.1090 -8.6059 1.1100 0.6875 6.2683 0.6660
0.1079 -16.5098 3.1923 -17.2776 3.2050 1.4056 10.9574 0.2212
0.1345 9.2457 1.4629 3.5498 1.4616 1.0939 8.6099 0.4797
0.1688 -13.1219 1.0590 2.3582 1.0367 0.4366 4.0342 0.8174
0.2122 1.9633 1.0574 -0.3488 1.0382 0.4485 4.2994 0.8070
0.1061 -1.0355 2.9951 6.3072 3.0264 1.3871 10.7391 0.2444
0.2158 4.5648 1.0617 -7.9078 1.0537 0.4906 4.8380 0.7782
0.1503 -29.2573 2.8961 5.9231 2.9350 1.3794 10.6407 0.2561
0.2174 -5.6410 1.2078 -1.3992 1.2066 0.8926 7.4487 0.5712
0.1478 2.3379 2.5112 2.4705 2.5211 1.3460 10.2328 0.3104
0.2134 0.7087 1.0762 5.7848 1.0773 0.5691 5.5457 0.7257
0.1930 -8.9755 1.0612 2.1610 1.0515 0.4870 4.7957 0.7808
0.2199 -4.8755 1.0717 8.6235 1.0754 0.5469 5.3755 0.7394
0.1682 7.9746 1.5902 -6.3269 1.5933 1.1461 8.9026 0.4547
0.0930 8.2307 1.0882 3.4673 1.0856 0.6230 5.8962 0.6967
0.1759 -15.7617 1.0589 0.7929 1.0367 0.4368 4.0442 0.8170
0.1942 -1.2485 2.9647 -14.2111 2.9984 1.3847 10.7089 0.2479
0.0820 -2.6754 1.5307 16.5864 1.5317 1.1214 8.7661 0.4664
0.2159 1.5093 1.0578 -8.5261 1.0370 0.4399 4.1416 0.8134
0.1356 5.1772 1.2084 11.8048 1.2072 0.8933 7.4526 0.5709
0.1979 4.1831 1.1424 -4.8803 1.1411 0.7677 6.7039 0.6304
